guests;beruf;bereich;partei;geschlecht
Martin Schulz;;;;
Markus Babbel;;;;
Micky Beisenherz;;;;
Lars Sänger;;;;
Thomas Hitzlsperger;;;;
parteilos;;;;
Philipp Türmer;;;;
Linda Teuteberg;;;;
Howard Carpendale;;;;
Jouanna Hassoun;;;;
Marie-Agnes Strack-Zimmermann;;;;
Ann-Katrin Müller;;;;
Stefan Aust;;;;
Siegfried Russwurm;;;;
Die Ampel ringt um den Haushalt 2024 Die Fronten zwischen SPD;;;;
Clemens Fuest;;;;
Carsten Schneider;;;;
Enissa Amani;;;;
Lanz;;;;
SPD;;;;
Jürgen Michael Schick;;;;
Sabine Fischer;;;;
Christoph Heusgen;;;;
Serap Güler;;;;
Ranga Yogeshwar;;;;
Alev Doğan;;;;
sich schätzen: Markus Lanz;;;;
witzig;;;;
Björn Wiese;;;;
Mario Czaja;;;;
Lisa Paus;;;;
Cem Özdemir;;;;
Manfred Weber;;;;
Arzt;;;;
Alexander Graf Lambsdorff;;;;
Reinhold Messner;;;;
Ronja Ebeling;;;;
Maria Fiedler;;;;
Florian Fabrici;;;;
Khesrau Behroz;;;;
Sarah Pagung;;;;
Tim Bendzko;;;;
Maria Fichte;;;;
BSW;;;;
Arif Abdullah Haidary;;;;
Die Gäste: Thomas de Maizière;;;;
Iris Sayram;;;;
Hendrik Ambrus;;;;
Katharina Schulze;;;;
Eva Quadbeck;;;;
Fatmire Alushi;;;;
Viktor Jerofejew;;;;
alter Krimskrams oder edle Rarität: In Horst Lichters Trödel-Show kann jeder seltene Fundstücke aus Keller oder Garage schätzen lassen.;;;;
Stephan Stuchlik;;;;
André Wüstner;;;;
Sven Plöger;;;;
Julia Klöckner;;;;
Satirisch;;;;
Wolfram Weimer;;;;
Lena Cassel;;;;
Lamia Messari-Becker;;;;
Hans-Olaf Henkel;;;;
Steffen Mau;;;;
Cansin Köktürk;;;;
Katja Diehl;;;;
Leif-Erik Holm;;;;
Anna Zaitseva;;;;
Claus Ruhe Madsen;;;;
Florian Schroeder;;;;
Ulrike Herrmann;;;;
Khola Maryam Hübsch);;;;
Cathryn Clüver Ashbrook;;;;
Sebastian Fiedler;;;;
Alexander Prinz ;;;;
Jens Südekum;;;;
 Marina Weisband;;;;
Ottogerd Karasch ;;;;
Jutta Allmendinger;;;;
Anton Hofreiter;;;;
Fernsehmoderator Jörg Pilawa;;;;
Ralph Brinkhaus;;;;
Stephan Lamby;;;;
Florian Flade;;;;
Philipp Köster;;;;
Souad Mekhennet;;;;
Wolfgang Merkel;;;;
Tara-Louise Wittwer;;;;
Anke Rehlinger;;;;
Yasmine M‘Barek;;;;
Monika Hohlmeier;;;;
Natalie Amiri;;;;
"kommentiert Oliver Welke in der ""heute-show"" die aktuellen Fernsehbilder aus Politik";;;;
Berthold Huber;;;;
Prof. Lars Castellucci;;;;
Ron Prosor;;;;
Petra Gerster;;;;
Ljudmyla Melnyk;;;;
Mit Claudia Roth;;;;
Hoda Salah;;;;
Collien Ulmen-Fernandes ;;;;
Saskia Esken;;;;
Ulf Röller;;;;
Yasmine M’Barek;;;;
Wolfgang Weber;;;;
Ruud Koopmans;;;;
Shimon Stein;;;;
Claudia Major;;;;
Simon Schnetzer;;;;
Kai Warnecke;;;;
Sigmund Gottlieb;;;;
Armin Schuster;;;;
) Waldemar Hartmann;;;;
Salman Rushdie;;;;
CDU;;;;
Daniel Cohn-Bendit;;;;
Tine Wittler;;;;
Mathias Döpfner;;;;
Matthias Ecke;;;;
in allen nur erdenklichen Bereichen.;;;;
Tarek Al-Wazir;;;;
Janine Wissler;;;;
Florian Streibl;;;;
Ricarda Lang;;;;
Sergej Lochthofen;;;;
Aref Hajjaj;;;;
Anja Windl;;;;
Nina Scheer;;;;
Anja Kohl;;;;
Wissenschaftsjournalist Eckart von Hirschhausen;;;;
Kerstin Palzer;;;;
Hannah Bethke;;;;
Ralf Stegner;;;;
Markus Feldenkirchen;;;;
Julia Friedrichs;;;;
Ilse Aigner;;;;
Hubertus Meyer-Burckhardt;;;;
Jürgen Trittin;;;;
Harald Lesch;;;;
Hendrik Wüst;;;;
Nicole Deitelhoff;;;;
Dr. Guido Steinberg;;;;
Hubert Aiwanger;;;;
Roderich Kiesewetter;;;;
sich kennen;;;;
Christian Rach;;;;
Robert Habeck;;;;
Irina Scherbakowa;;;;
Michael Bröcker;;;;
Carl Bildt;;;;
Bettina Böttinger;;;;
Markus Preiß;;;;
Michael Müller;;;;
Dr. Christoph Breuer;;;;
Frank Ulrich Montgomery;;;;
Lamya Kaddor;;;;
Talk;;;;
Prof. Peter Neumann;;;;
Konstantin Kuhle;;;;
Marie-Christine Ostermann;;;;
Carlo Masala;;;;
Gabor Steingart;;;;
Franziska Grillmeier;;;;
Jens-Marco Scherf;;;;
Daniel Günther;;;;
Bärbel Bas;;;;
Thomas Wasilewski;;;;
im Einzelgespräch Boris Pistorius;;;;
Zuhra Visnjic;;;;
Anne Hähnig;;;;
Hedwig Richter;;;;
Marcel Reif;;;;
Matthias Deiß;;;;
Ursula Münch;;;;
Michael Hüther;;;;
Mit Malu Dreyer;;;;
Herfried Münkler;;;;
Stormy-Annika Mildner;;;;
Hans Reichhart;;;;
Henry Maske;;;;
David Precht verabreden sich zum wöchentlichen Gespräch.;;;;
Mia Guethe;;;;
Rieke Havertz;;;;
Georg Mascolo;;;;
eine Lösung nicht in Sicht Findet die Bundesregierung einen Ausweg aus ihrer bislang größten Krise? Im Studio SPD-Parteichef Lars Klingbeil;;;;
Olaf Scholz;;;;
B. Kerner präsentiert die große Spendengal;;;;
Philipp Awounou;;;;
